wkt_geom,UniqueID
"MultiLineString ((-3.46899766720136205 50.90942816729440068, -3.46942386730901875 50.90967096729200136, -3.46945626732484769 50.90970446729378551, -3.46942276735785571 50.90975936730301044, -3.4693396674025494 50.90982686731725693, -3.46911566751492417 50.90998766735235392, -3.4690194675441246 50.91002116736291327))",Speed Limits-1174
"MultiLineString ((-3.46406757147368127 50.91176326658693796, -3.46402487146629845 50.91171696655960943, -3.46385297144284632 50.91154016645033664),(-3.46385297144284632 50.91154016645033664, -3.46354877134744177 50.91116816622578511, -3.46342937135769491 50.91108276615680239),(-3.46342937135769491 50.91108276615680239, -3.46344947129125647 50.911018466138799, -3.46342667127242843 50.91097706611589047, -3.46333957124667302 50.91087556604914255, -3.46300557115636432 50.91050356578988811, -3.46291277117704199 50.91045646573824968, -3.46281647123431657 50.91045026570182586, -3.46269847131441821 50.91045446566209876, -3.46254557147663222 50.91052806564026412, -3.46216857192272398 50.91075856561476343))",Speed Limits-1176
"MultiLineString ((-3.46773296834800115 50.91090476748166793, -3.46735176858116168 50.91087476735427231, -3.46730356861687028 50.91088016733932164, -3.46727236864615529 50.91089266733096252, -3.46724406868332169 50.91091946732560558, -3.46721666875442258 50.91099656732787793, -3.46719926886937246 50.91114706734420992, -3.46719776889007791 50.9111757673479417))",Speed Limits-1179
"MultiLineString ((-3.4891155682940389 50.90400916527726594, -3.48904246829329168 50.90400366527910592, -3.48863686828843234 50.90397296528937687))",Speed Limits-1186
"MultiLineString ((-3.48876226554125823 50.90953636604626809, -3.48875616554812096 50.90950486603382785, -3.48879236554485406 50.90949216602788141, -3.48882456554226605 50.90947866602171956, -3.48882476554571852 50.90945956601407119, -3.48865686562043731 50.90921566592142966, -3.48860006564645175 50.90913696589190351, -3.48854956566399377 50.90909726587773321, -3.48849216567919873 50.9090764658712942, -3.48843656569228511 50.90906496586849528, -3.48840646570228019 50.90904546586177304, -3.48839156570729214 50.90903576585842671, -3.4883656657181441 50.90900926584885866, -3.48836956572312884 50.90898316583849947, -3.48837136572758411 50.90896126582988046, -3.48841826572732661 50.90891886581166403, -3.48848976571886693 50.90888976579778813, -3.48857106570504261 50.90887546578936451))",Speed Limits-1189
"MultiLineString ((-3.48746736858047157 50.90321476525136291, -3.48745656865049769 50.9030628652363788, -3.4874339686999809 50.90295176522591447))",Speed Limits-1216
"MultiLineString ((-3.42856517382275072 50.92745577357363373, -3.42818367402401192 50.9276071737966447, -3.42769947427040211 50.92780227407747162, -3.42736577444985446 50.92795457428278638, -3.42715377454842285 50.92803937440181983, -3.42673757472573026 50.92819667462521238, -3.42620397490213158 50.9283572748733846, -3.42583037501403576 50.9284648750404898, -3.42562897507166886 50.9285225751294135, -3.42546217513988438 50.92859597522244286, -3.42517927525294485 50.92872217538000967, -3.42501117532779942 50.92880957548215548, -3.42488307537042536 50.92886007554720607, -3.4247883754031645 50.92889967559676734, -3.42475057543973094 50.9289451756389866, -3.42469997549672112 50.92901667570335178, -3.42462987555301579 50.92908807577132535, -3.42451347560480057 50.92915527584501945, -3.42420677574178756 50.92934017604297026, -3.4239432758627748 50.9295123762202806, -3.42370387597678105 50.92968237638901741, -3.4236104760071413 50.92973117644151415, -3.42336227603291787 50.92978667652651126, -3.42317817603865659 50.92981017657648835, -3.42298877605250107 50.92984717663672001, -3.42279667608834481 50.92991947672180686, -3.42262587611934066 50.92998507679772047, -3.42247647615882489 50.93006407687858683, -3.42229767617757297 50.93011627694540522, -3.42211197619739904 50.93017337701615332, -3.42184987620731818 50.93022777709734328, -3.42165367621471805 50.93027077715912299, -3.42145297622309874 50.93031847722429006, -3.42128987622290692 50.93034627726962071, -3.42103637621731549 50.93038197733464756, -3.4208942762154031 50.93040547737316359, -3.42074487623537937 50.93047447744199729, -3.42063017627107246 50.93057027752188048, -3.42049137629657896 50.93065437759749869, -3.42021877631238347 50.9307569777046325, -3.41982607631186264 50.93086817783358811, -3.41952167630216675 50.93094257792466095, -3.41946547631091269 50.9309825779573373))",Speed Limits-1244
"MultiLineString ((-3.47803266730614835 50.9047390673392357, -3.47796436732410807 50.90458236739211628, -3.47789136734309379 50.90441246745028536))",Speed Limits-1246
"MultiLineString ((-3.49107176629944016 50.90717646552847953, -3.49081526614461213 50.90746226556569098, -3.49063876599124834 50.90773946559936292, -3.49056526599113326 50.90775686560361635, -3.49022576609348345 50.90767316560685174))",Speed Limits-1318
"MultiLineString ((-3.49228116494819929 50.90899756571786838, -3.4921320649725005 50.90884816565837667),(-3.4921320649725005 50.90884816565837667, -3.49210796504095411 50.90875976565041583, -3.49174266532027122 50.90846596563383741, -3.49162616537932502 50.90841216563249105),(-3.49162616537932502 50.90841216563249105, -3.49138236555563264 50.90821866562161091),(-3.49138236555563264 50.90821866562161091, -3.49130976560587891 50.90816296561857257))",Speed Limits-1319
"MultiLineString ((-3.49055846636248335 50.90717286554554732, -3.48997556654361718 50.90698666554674645, -3.48958876624576142 50.90757026561831822, -3.4899785661292011 50.90767336561533796))",Speed Limits-1320
